Assists,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts On Target,Attempts Outside the Penalty Area,Corners,Goals,Headed Attempts at Goal,Off-Target Attempts,Possession Control (%),Rank,Team,xG,xG Efficiency,Category,Crosses,Crossing Accuracy (%),Defensive Linebreaks Acc (%),Defensive Linebreaks Attempted,Passes,Passing Accuracy (%),Switches of Play Acc (%),Switches of Play Attempted,Ball Recovery Time (s),Defensive Pressures Applied,Defensive Pressures Directly Applied,Forced Turnovers,Goals Conceded,Own Goals,Fouls Against,Fouls For,Indirect Red Cards,Offsides,Red Cards,Yellow Cards,Clean Sheets,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Goalkeeper Save Percentage (%),Goalkeeper Saves,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Offers To Receive,Receptions Between Midfield And Defensive Line,Receptions In Behind,Receptions Under Pressure,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
2,32,6,21,11,11,12,2,9,13,56,33,Korea Republic,3.38,0.59x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,33,6,15,7,18,9,2,4,14,36,33,Cabo Verde,2.04,0.98x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,8,16,11,10,12,2,3,12,35,33,Australia,1.99,1x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,11,6,6,12,9,2,4,8,36,33,Tunisia,1.12,1.78x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,6,16,7,15,9,2,5,15,42,33,Haiti,1.62,1.24x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,11,10,5,8,9,2,2,8,35,33,Uzbekistan,1.71,1.17x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46,4,30,19,16,17,2,11,22,52,33,Ecuador,5.41,0.37x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,13,11,3,4,6,2,3,6,33,33,Ghana,2.07,0.96x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34,6,22,8,12,15,2,10,15,37,33,Czechia,2.44,0.82x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,12,10,6,7,9,2,2,10,31,33,Qatar,1.88,1.06x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,3,23,7,6,12,1,6,12,41,44,Scotland,2.34,0.43x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,3,14,7,15,5,1,4,18,32,44,Curaçao,1.7,0.59x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17,6,8,8,9,7,1,3,5,33,44,Saudi Arabia,1.52,0.66x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,5,12,2,9,7,1,6,13,37,44,Iraq,2.11,0.47x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,32,0,20,7,12,12,0,5,16,42,48,Panama,2.19,0x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,Germany,,,Distribution,108,22,56,81,2721,90,71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Morocco,,,Distribution,77,27,53,79,2627,89,81,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3,Brazil,,,Distribution,73,29,57,82,2395,90,94,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4,France,,,Distribution,66,17,68,102,2285,90,96,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5,Spain,,,Distribution,82,22,72,78,2191,92,95,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,Algeria,,,Distribution,32,16,58,57,2070,91,95,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,Netherlands,,,Distribution,79,27,60,78,2039,88,82,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,Côte d'Ivoire,,,Distribution,78,24,53,85,1970,88,92,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,9,Argentina,,,Distribution,21,33,54,41,1966,91,85,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,10,Portugal,,,Distribution,61,25,60,82,1899,92,84,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,South Africa,,,Distribution,36,17,41,63,1855,85,85,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Korea Republic,,,Distribution,64,28,60,65,1853,89,86,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13,Norway,,,Distribution,52,37,43,70,1849,86,71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14,Türkiye,,,Distribution,84,14,60,75,1844,87,73,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15,Japan,,,Distribution,62,26,47,74,1733,86,67,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16,Canada,,,Distribution,131,25,56,94,1730,83,81,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,17,England,,,Distribution,76,28,68,84,1696,90,75,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18,Switzerland,,,Distribution,66,14,54,76,1663,88,90,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19,Belgium,,,Distribution,75,28,57,76,1643,88,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20,Colombia,,,Distribution,48,29,45,58,1629,88,91,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21,USA,,,Distribution,58,28,63,89,1628,87,81,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,22,Senegal,,,Distribution,63,29,58,69,1610,88,96,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23,Sweden,,,Distribution,62,19,45,75,1569,82,85,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24,Ecuador,,,Distribution,61,31,46,74,1565,87,83,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25,Egypt,,,Distribution,53,23,49,72,1543,87,96,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26,Croatia,,,Distribution,45,18,52,61,1515,88,76,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,27,Austria,,,Distribution,48,21,62,60,1467,87,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28,Uruguay,,,Distribution,87,21,64,74,1445,87,95,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29,Scotland,,,Distribution,53,34,40,45,1377,87,71,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30,Mexico,,,Distribution,32,25,37,52,1373,87,87,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,31,New Zealand,,,Distribution,37,19,22,54,1335,83,75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32,Panama,,,Distribution,58,21,43,54,1259,83,70,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,33,Saudi Arabia,,,Distribution,22,23,40,53,1175,78,67,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,34,Paraguay,,,Distribution,41,20,27,55,1169,72,80,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,35,Bosnia and Herzegovina,,,Distribution,47,19,41,44,1159,81,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36,Iraq,,,Distribution,24,29,44,48,1129,81,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
