Assists,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts On Target,Attempts Outside the Penalty Area,Corners,Goals,Headed Attempts at Goal,Off-Target Attempts,Possession Control (%),Rank,Team,xG,xG Efficiency,Category,Crosses,Crossing Accuracy (%),Defensive Linebreaks Acc (%),Defensive Linebreaks Attempted,Passes,Passing Accuracy (%),Switches of Play Acc (%),Switches of Play Attempted,Ball Recovery Time (s),Defensive Pressures Applied,Defensive Pressures Directly Applied,Forced Turnovers,Goals Conceded,Own Goals,Fouls Against,Fouls For,Indirect Red Cards,Offsides,Red Cards,Yellow Cards,Clean Sheets,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Goalkeeper Save Percentage (%),Goalkeeper Saves,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Offers To Receive,Receptions Between Midfield And Defensive Line,Receptions In Behind,Receptions Under Pressure,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
,,,,,,,,,,,12,Senegal,,,Defending,,,,,,,,,45.34,703,108,113,6,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Norway,,,Defending,,,,,,,,,63.3,910,152,132,8,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Brazil,,,Defending,,,,,,,,,71.12,937,145,148,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,England,,,Defending,,,,,,,,,34.66,595,123,105,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,Japan,,,Discipline,,,,,,,,,,,,,,,55,31,0,4,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,Haiti,,,Discipline,,,,,,,,,,,,,,,55,43,0,7,0,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3,Paraguay,,,Discipline,,,,,,,,,,,,,,,53,50,0,5,1,9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4,Germany,,,Discipline,,,,,,,,,,,,,,,51,42,0,4,0,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5,Canada,,,Discipline,,,,,,,,,,,,,,,48,58,0,5,0,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,Morocco,,,Discipline,,,,,,,,,,,,,,,47,57,0,6,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,Ghana,,,Discipline,,,,,,,,,,,,,,,46,33,0,8,0,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,Bosnia and Herzegovina,,,Discipline,,,,,,,,,,,,,,,46,31,0,2,1,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,Panama,,,Discipline,,,,,,,,,,,,,,,46,33,0,6,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,10,Uzbekistan,,,Discipline,,,,,,,,,,,,,,,45,29,0,3,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,Netherlands,,,Discipline,,,,,,,,,,,,,,,44,43,0,8,0,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,Brazil,,,Discipline,,,,,,,,,,,,,,,44,48,0,10,0,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13,Sweden,,,Discipline,,,,,,,,,,,,,,,43,50,0,9,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14,Scotland,,,Discipline,,,,,,,,,,,,,,,42,39,0,2,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14,Norway,,,Discipline,,,,,,,,,,,,,,,42,29,0,3,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16,France,,,Discipline,,,,,,,,,,,,,,,38,29,0,7,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16,USA,,,Discipline,,,,,,,,,,,,,,,38,42,0,8,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16,South Africa,,,Discipline,,,,,,,,,,,,,,,38,46,0,8,2,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19,Switzerland,,,Discipline,,,,,,,,,,,,,,,37,42,0,5,0,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19,Czechia,,,Discipline,,,,,,,,,,,,,,,37,31,0,5,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19,England,,,Discipline,,,,,,,,,,,,,,,37,52,0,6,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,22,Qatar,,,Discipline,,,,,,,,,,,,,,,36,28,0,4,2,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23,Ecuador,,,Discipline,,,,,,,,,,,,,,,35,27,0,1,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23,Colombia,,,Discipline,,,,,,,,,,,,,,,35,34,0,13,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23,IR Iran,,,Discipline,,,,,,,,,,,,,,,35,23,0,9,0,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26,Australia,,,Discipline,,,,,,,,,,,,,,,34,24,0,1,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26,Mexico,,,Discipline,,,,,,,,,,,,,,,34,28,0,4,1,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26,Spain,,,Discipline,,,,,,,,,,,,,,,34,15,0,6,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,26,Egypt,,,Discipline,,,,,,,,,,,,,,,34,42,0,1,0,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30,Croatia,,,Discipline,,,,,,,,,,,,,,,33,40,0,4,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30,Argentina,,,Discipline,,,,,,,,,,,,,,,33,31,0,8,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32,New Zealand,,,Discipline,,,,,,,,,,,,,,,32,23,0,4,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32,Austria,,,Discipline,,,,,,,,,,,,,,,32,20,0,6,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32,Curaçao,,,Discipline,,,,,,,,,,,,,,,32,31,0,5,0,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32,Congo DR,,,Discipline,,,,,,,,,,,,,,,32,34,0,5,0,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36,Türkiye,,,Discipline,,,,,,,,,,,,,,,31,38,0,7,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36,Jordan,,,Discipline,,,,,,,,,,,,,,,31,23,0,3,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36,Uruguay,,,Discipline,,,,,,,,,,,,,,,31,29,0,14,1,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Saudi Arabia,,,Discipline,,,,,,,,,,,,,,,29,26,0,3,0,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Portugal,,,Discipline,,,,,,,,,,,,,,,29,34,0,7,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Côte d'Ivoire,,,Discipline,,,,,,,,,,,,,,,29,36,0,4,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Belgium,,,Discipline,,,,,,,,,,,,,,,29,33,0,4,1,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43,Tunisia,,,Discipline,,,,,,,,,,,,,,,27,34,0,9,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43,Iraq,,,Discipline,,,,,,,,,,,,,,,27,31,0,1,1,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,45,Korea Republic,,,Discipline,,,,,,,,,,,,,,,25,32,0,8,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,46,Senegal,,,Discipline,,,,,,,,,,,,,,,24,28,0,8,0,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,47,Algeria,,,Discipline,,,,,,,,,,,,,,,17,30,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,48,Cabo Verde,,,Discipline,,,,,,,,,,,,,,,15,35,0,5,0,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,Spain,,,Goalkeeping,,,,,,,,,,,,,0,,,,,,,,3,43,31,3,6,,,,,,,,,,,,,
,,,,,,,,,,,1,Mexico,,,Goalkeeping,,,,,,,,,,,,,0,,,,,,,,3,38,31,3,5,,,,,,,,,,,,,
,,,,,,,,,,,3,France,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,2,42,36,2,9,,,,,,,,,,,,,
,,,,,,,,,,,3,Brazil,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,2,54,47,3,12,,,,,,,,,,,,,
,,,,,,,,,,,3,Paraguay,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,2,116,103,3,24,,,,,,,,,,,,,
,,,,,,,,,,,3,Ghana,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,2,64,55,3,9,,,,,,,,,,,,,
,,,,,,,,,,,3,Australia,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,2,65,56,3,11,,,,,,,,,,,,,
,,,,,,,,,,,3,Argentina,,,Goalkeeping,,,,,,,,,,,,,1,,,,,,,,2,31,26,100,1,,,,,,,,,,,,,
,,,,,,,,,,,3,Colombia,,,Goalkeeping,,,,,,,,,,,,,1,,,,,,,,2,37,36,3,5,,,,,,,,,,,,,
,,,,,,,,,,,3,Cabo Verde,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,2,96,71,2,10,,,,,,,,,,,,,
,,,,,,,,,,,3,England,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,2,45,35,2,5,,,,,,,,,,,,,
,,,,,,,,,,,3,Côte d'Ivoire,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,2,84,68,2,11,,,,,,,,,,,,,
,,,,,,,,,,,3,Canada,,,Goalkeeping,,,,,,,,,,,,,3,,,,,,,,2,43,34,2,6,,,,,,,,,,,,,
,,,,,,,,,,,3,Portugal,,,Goalkeeping,,,,,,,,,,,,,1,,,,,,,,2,63,54,3,9,,,,,,,,,,,,,
,,,,,,,,,,,15,Japan,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,1,78,64,2,17,,,,,,,,,,,,,
,,,,,,,,,,,15,Senegal,,,Goalkeeping,,,,,,,,,,,,,6,,,,,,,,1,53,40,2,9,,,,,,,,,,,,,
,,,,,,,,,,,15,Saudi Arabia,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,1,86,78,3,17,,,,,,,,,,,,,
,,,,,,,,,,,15,Belgium,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,1,52,42,2,8,,,,,,,,,,,,,
,,,,,,,,,,,15,Curaçao,,,Goalkeeping,,,,,,,,,,,,,9,,,,,,,,1,81,72,2,21,,,,,,,,,,,,,
,,,,,,,,,,,15,Scotland,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,1,75,64,2,9,,,,,,,,,,,,,
,,,,,,,,,,,15,USA,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,1,38,32,100,3,,,,,,,,,,,,,
,,,,,,,,,,,15,Ecuador,,,Goalkeeping,,,,,,,,,,,,,2,,,,,,,,1,51,47,2,11,,,,,,,,,,,,,
,,,,,,,,,,,15,IR Iran,,,Goalkeeping,,,,,,,,,,,,,3,,,,,,,,1,75,65,2,15,,,,,,,,,,,,,
,,,,,,,,,,,15,South Africa,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,1,72,59,3,14,,,,,,,,,,,,,
,,,,,,,,,,,15,Croatia,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,1,59,48,2,11,,,,,,,,,,,,,
,,,,,,,,,,,15,Morocco,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,1,59,49,2,9,,,,,,,,,,,,,
,,,,,,,,,,,27,Türkiye,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,0,55,46,2,8,,,,,,,,,,,,,
,,,,,,,,,,,27,Algeria,,,Goalkeeping,,,,,,,,,,,,,7,,,,,,,,0,36,33,1,6,,,,,,,,,,,,,
,,,,,,,,,,,27,Bosnia and Herzegovina,,,Goalkeeping,,,,,,,,,,,,,6,,,,,,,,0,71,55,2,8,,,,,,,,,,,,,
,,,,,,,,,,,27,Norway,,,Goalkeeping,,,,,,,,,,,,,8,,,,,,,,0,85,75,2,12,,,,,,,,,,,,,
,,,,,,,,,,,27,Austria,,,Goalkeeping,,,,,,,,,,,,,6,,,,,,,,0,49,44,2,8,,,,,,,,,,,,,
,,,,,,,,,,,27,Korea Republic,,,Goalkeeping,,,,,,,,,,,,,3,,,,,,,,0,42,34,2,11,,,,,,,,,,,,,
,,,,,,,,,,,27,Qatar,,,Goalkeeping,,,,,,,,,,,,,10,,,,,,,,0,124,103,2,16,,,,,,,,,,,,,
,,,,,,,,,,,27,Netherlands,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,0,57,54,3,17,,,,,,,,,,,,,
,,,,,,,,,,,27,Egypt,,,Goalkeeping,,,,,,,,,,,,,3,,,,,,,,0,64,56,2,9,,,,,,,,,,,,,
,,,,,,,,,,,27,Uruguay,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,0,48,39,1,4,,,,,,,,,,,,,
,,,,,,,,,,,27,Tunisia,,,Goalkeeping,,,,,,,,,,,,,12,,,,,,,,0,77,64,1,7,,,,,,,,,,,,,
,,,,,,,,,,,27,Iraq,,,Goalkeeping,,,,,,,,,,,,,12,,,,,,,,0,94,81,1,10,,,,,,,,,,,,,
,,,,,,,,,,,27,Sweden,,,Goalkeeping,,,,,,,,,,,,,10,,,,,,,,0,76,66,2,16,,,,,,,,,,,,,
,,,,,,,,,,,27,Switzerland,,,Goalkeeping,,,,,,,,,,,,,3,,,,,,,,0,38,34,3,11,,,,,,,,,,,,,
,,,,,,,,,,,27,Czechia,,,Goalkeeping,,,,,,,,,,,,,6,,,,,,,,0,60,52,2,11,,,,,,,,,,,,,
,,,,,,,,,,,27,Haiti,,,Goalkeeping,,,,,,,,,,,,,8,,,,,,,,0,56,48,2,13,,,,,,,,,,,,,
,,,,,,,,,,,27,Jordan,,,Goalkeeping,,,,,,,,,,,,,8,,,,,,,,0,70,56,1,8,,,,,,,,,,,,,
,,,,,,,,,,,27,Congo DR,,,Goalkeeping,,,,,,,,,,,,,3,,,,,,,,0,55,45,89,10,,,,,,,,,,,,,
,,,,,,,,,,,27,Uzbekistan,,,Goalkeeping,,,,,,,,,,,,,11,,,,,,,,0,82,65,100,6,,,,,,,,,,,,,
,,,,,,,,,,,27,Panama,,,Goalkeeping,,,,,,,,,,,,,4,,,,,,,,0,48,42,2,9,,,,,,,,,,,,,
,,,,,,,,,,,27,New Zealand,,,Goalkeeping,,,,,,,,,,,,,10,,,,,,,,0,97,88,2,11,,,,,,,,,,,,,
,,,,,,,,,,,27,Germany,,,Goalkeeping,,,,,,,,,,,,,5,,,,,,,,0,61,45,2,7,,,,,,,,,,,,,
,,,,,,,,,,,1,Morocco,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,528,628,684,1041,799,1840,440,48,943,,,,
,,,,,,,,,,,2,Brazil,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,413,637,605,951,704,1655,375,47,712,,,,
,,,,,,,,,,,3,Germany,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,440,631,520,849,742,1591,550,45,942,,,,
,,,,,,,,,,,4,Spain,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,469,498,620,938,649,1587,460,55,741,,,,
,,,,,,,,,,,5,Japan,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,392,576,511,872,607,1479,324,33,574,,,,
,,,,,,,,,,,6,France,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,413,449,558,810,610,1420,448,69,744,,,,
,,,,,,,,,,,7,England,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,357,452,560,787,582,1369,299,53,612,,,,
,,,,,,,,,,,8,Norway,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,296,619,421,710,626,1336,413,32,759,,,,
,,,,,,,,,,,9,Mexico,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,321,570,433,699,625,1324,295,21,530,,,,
,,,,,,,,,,,10,Belgium,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,461,452,402,742,573,1315,411,44,599,,,,
,,,,,,,,,,,11,Colombia,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,368,520,420,615,693,1308,318,33,519,,,,
,,,,,,,,,,,12,Canada,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,458,442,397,631,666,1297,463,60,715,,,,
,,,,,,,,,,,13,Argentina,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,260,542,483,705,580,1285,308,23,659,,,,
,,,,,,,,,,,14,Türkiye,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,409,428,438,681,594,1275,378,41,709,,,,
,,,,,,,,,,,15,Algeria,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,340,496,396,687,545,1232,287,31,685,,,,
,,,,,,,,,,,16,South Africa,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,359,458,395,669,543,1212,283,29,634,,,,
,,,,,,,,,,,17,Portugal,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,382,478,350,677,533,1210,378,47,590,,,,
,,,,,,,,,,,18,USA,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,337,474,396,658,549,1207,360,52,650,,,,
,,,,,,,,,,,19,Korea Republic,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,267,427,507,657,544,1201,274,40,678,,,,
,,,,,,,,,,,20,Netherlands,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,409,376,410,713,482,1195,380,47,642,,,,
,,,,,,,,,,,21,Uruguay,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,436,399,347,599,583,1182,311,45,586,,,,
,,,,,,,,,,,22,Côte d'Ivoire,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,326,480,306,589,523,1112,424,46,861,,,,
,,,,,,,,,,,23,Egypt,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,270,387,438,537,558,1095,312,35,518,,,,
,,,,,,,,,,,24,Senegal,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,343,370,353,628,438,1066,325,37,696,,,,
,,,,,,,,,,,25,Sweden,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,285,427,353,611,454,1065,338,35,620,,,,
,,,,,,,,,,,25,Ecuador,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,246,435,384,582,483,1065,347,34,583,,,,
,,,,,,,,,,,27,Switzerland,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,337,407,319,629,434,1063,317,46,562,,,,
,,,,,,,,,,,28,New Zealand,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,263,471,328,559,503,1062,267,14,563,,,,
,,,,,,,,,,,29,Scotland,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,231,400,409,558,482,1040,230,15,430,,,,
,,,,,,,,,,,30,Tunisia,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,287,448,265,547,453,1000,196,18,405,,,,
,,,,,,,,,,,31,Austria,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,267,371,337,549,426,975,301,43,603,,,,
,,,,,,,,,,,32,Iraq,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,300,391,264,548,407,955,172,22,430,,,,
,,,,,,,,,,,33,Croatia,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,300,317,321,519,419,938,233,26,481,,,,
,,,,,,,,,,,34,Congo DR,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,268,415,242,538,387,925,236,16,448,,,,
,,,,,,,,,,,35,Panama,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,239,366,284,418,471,889,248,28,532,,,,
,,,,,,,,,,,36,Cabo Verde,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,223,379,264,449,417,866,204,15,485,,,,
,,,,,,,,,,,37,Haiti,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,252,350,232,429,405,834,212,13,407,,,,
,,,,,,,,,,,38,Uzbekistan,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,197,382,222,456,345,801,246,16,458,,,,
,,,,,,,,,,,39,IR Iran,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,227,264,270,356,405,761,229,28,446,,,,
,,,,,,,,,,,40,Jordan,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,210,323,208,351,390,741,186,27,465,,,,
,,,,,,,,,,,41,Czechia,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,232,305,203,371,369,740,245,19,439,,,,
,,,,,,,,,,,42,Saudi Arabia,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,207,276,224,386,321,707,244,24,523,,,,
,,,,,,,,,,,43,Bosnia and Herzegovina,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,192,275,233,372,328,700,204,18,522,,,,
,,,,,,,,,,,44,Paraguay,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,164,264,237,327,338,665,212,18,521,,,,
,,,,,,,,,,,45,Australia,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,155,298,205,349,309,658,241,24,573,,,,
,,,,,,,,,,,46,Qatar,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,169,285,189,347,296,643,146,22,361,,,,
,,,,,,,,,,,47,Curaçao,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,189,289,143,346,275,621,228,17,524,,,,
,,,,,,,,,,,48,Ghana,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,215,164,198,310,267,577,170,23,342,,,,
,,,,,,,,,,,1,Czechia,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,4330,1381,348826.43
,,,,,,,,,,,2,Germany,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,5991,1990,508926.8
,,,,,,,,,,,3,Belgium,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,4044,1447,344936.19
,,,,,,,,,,,4,USA,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,4388,1513,358610.48
,,,,,,,,,,,5,New Zealand,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,4280,1492,349040.82
,,,,,,,,,,,6,Scotland,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,3766,1251,348567.52
,,,,,,,,,,,7,Norway,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,5295,1853,464494.35
,,,,,,,,,,,8,Australia,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,4023,1375,345911.08
,,,,,,,,,,,9,Egypt,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,4068,1515,346823.8
,,,,,,,,,,,10,Mexico,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,3979,1318,338511.84
,,,,,,,,,,,11,England,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,3861,1505,340464.41
,,,,,,,,,,,12,Jordan,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,4296,1363,347325.19
,,,,,,,,,,,13,Canada,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,5536,2032,454227.11
,,,,,,,,,,,14,Bosnia and Herzegovina,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,3592,1283,336456.49
,,,,,,,,,,,15,Türkiye,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,3548,1289,350818.34
,,,,,,,,,,,16,Tunisia,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,3503,1213,333260.77
,,,,,,,,,,,17,Korea Republic,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,3553,1298,334954.79
,,,,,,,,,,,18,Spain,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,3716,1256,342164.48
,,,,,,,,,,,19,Iraq,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,3746,1209,328508.46
,,,,,,,,,,,20,IR Iran,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,4061,1347,344366.12
,,,,,,,,,,,21,France,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,4675,1695,444687.06
,,,,,,,,,,,22,Croatia,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,3743,1381,334228.99
,,,,,,,,,,,23,Panama,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,3745,1372,336713.09
,,,,,,,,,,,24,Japan,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,4678,1669,446744.57
,,,,,,,,,,,25,Saudi Arabia,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,4110,1450,338484.3
,,,,,,,,,,,26,Switzerland,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4041,1348,334171.2
,,,,,,,,,,,27,Paraguay,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5248,1818,488152.5
,,,,,,,,,,,28,Austria,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,3776,1274,341426.82
,,,,,,,,,,,29,Sweden,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,4426,1586,439790.02
,,,,,,,,,,,30,Cabo Verde,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,3419,1207,335193.42
,,,,,,,,,,,31,Haiti,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96,3975,1376,334085.63
,,,,,,,,,,,32,Morocco,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,5228,2036,480903.65
,,,,,,,,,,,33,Congo DR,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,3750,1354,333487.34
,,,,,,,,,,,34,Algeria,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,3638,1240,330809.85
,,,,,,,,,,,35,Brazil,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,4919,1705,448014.6
,,,,,,,,,,,36,Uzbekistan,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3793,1354,337440.01
,,,,,,,,,,,37,South Africa,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5039,1884,429068.84
,,,,,,,,,,,38,Senegal,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,3738,1411,339841.4
,,,,,,,,,,,39,Uruguay,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,3668,1448,337450.99
,,,,,,,,,,,40,Portugal,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,3395,1260,324019.59
